t (detik),pH,,
300,8.615,,
360,8.615,,
420,8.615,,
480,8.615,,
540,8.616,,
600,8.616,,
660,8.618,,
720,8.622,,
780,8.623,,
840,8.627,,
900,8.630,,
960,8.634,,
1020,8.637,,
1080,8.641,,
1140,8.643,,
1200,8.648,,
1260,8.650,,
1320,8.653,,
1380,8.657,,
1440,8.658,,
1500,8.662,,
1560,8.663,,
1620,8.667,,
1680,8.669,,
1740,8.670,,
1800,8.672,,
1860,8.674,,
1920,8.677,,
1980,8.679,,
2040,8.681,,
2100,8.679,,
2160,8.679,,
2220,8.679,,
2280,8.677,,
2340,8.679,,
2400,8.677,,
2460,8.677,,
2520,8.677,,
2580,8.676,,
2640,8.676,,
2700,8.674,,
2760,8.674,,
2820,8.674,,
2880,8.674,,
2940,8.674,,
3000,8.672,,
3060,8.670,,
3120,8.670,,
3180,8.669,,
3240,8.669,,
3300,8.667,,
3360,8.667,,
3420,8.667,,
3480,8.667,,
3540,8.667,,
3600,8.665,,
